id,recruiter_id,title,company,description,location,job_type,job_status,created_at
1,3,Backend Engineer,Accenture,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Delhi, India",Contract,active,2024-06-19 00:00:00
2,3,Backend Engineer,Accenture,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Delhi, India",Part-time,active,2024-05-26 00:00:00
3,2,Full Stack Engineer,Infosys,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.","Mumbai, India",Internship,active,2024-01-17 00:00:00
4,6,QA Engineer,Accenture,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,Remote,Internship,closed,2024-04-08 00:00:00
5,8,Backend Engineer,Uber,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Mumbai, India",Internship,closed,2024-06-13 00:00:00
6,5,Backend Engineer,Uber,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Delhi, India",Contract,active,2024-03-25 00:00:00
7,4,Full Stack Engineer,Google,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.","Bangalore, India",Full-time,active,2024-03-14 00:00:00
8,4,Data Analyst,Accenture,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.",Remote,Part-time,closed,2024-03-30 00:00:00
9,10,Cloud Engineer,Uber,Looking for a Cloud Engineer with strong knowledge of AWS or Azure. You will design cloud architectures and ensure scalability and security.,Remote,Internship,active,2024-06-09 00:00:00
10,2,Cloud Engineer,Uber,Looking for a Cloud Engineer with strong knowledge of AWS or Azure. You will design cloud architectures and ensure scalability and security.,"Delhi, India",Part-time,active,2024-02-20 00:00:00
11,4,DevOps Engineer,Uber,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.","Bangalore, India",Internship,active,2024-06-12 00:00:00
12,8,ML Engineer,Deloitte,"Hiring an ML Engineer with expertise in Python, machine learning, and NLP. You will develop models, work on data pipelines, and deploy AI solutions.",Remote,Contract,active,2024-03-21 00:00:00
13,1,Backend Engineer,Flipkart,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Delhi, India",Contract,active,2024-05-29 00:00:00
14,1,Data Analyst,Deloitte,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.","Mumbai, India",Full-time,closed,2024-04-21 00:00:00
15,9,Cloud Engineer,Amazon,Looking for a Cloud Engineer with strong knowledge of AWS or Azure. You will design cloud architectures and ensure scalability and security.,Remote,Full-time,closed,2024-01-25 00:00:00
16,1,Cloud Engineer,Flipkart,Looking for a Cloud Engineer with strong knowledge of AWS or Azure. You will design cloud architectures and ensure scalability and security.,"Bangalore, India",Contract,active,2024-01-03 00:00:00
17,3,Full Stack Engineer,Deloitte,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.","Delhi, India",Full-time,active,2024-02-07 00:00:00
18,7,QA Engineer,TCS,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,"Bangalore, India",Contract,closed,2024-03-07 00:00:00
19,10,Frontend Engineer,Infosys,"We are hiring a Frontend Engineer proficient in React and JavaScript. You will build responsive UIs, collaborate with designers, and ensure excellent user experience.","Mumbai, India",Contract,active,2024-06-14 00:00:00
20,4,Full Stack Engineer,Infosys,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.","Delhi, India",Part-time,closed,2024-05-11 00:00:00
21,4,ML Engineer,Infosys,"Hiring an ML Engineer with expertise in Python, machine learning, and NLP. You will develop models, work on data pipelines, and deploy AI solutions.","Mumbai, India",Contract,active,2024-06-10 00:00:00
22,2,Data Analyst,Flipkart,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.","Mumbai, India",Full-time,active,2024-01-27 00:00:00
23,6,Cloud Engineer,PwC,Looking for a Cloud Engineer with strong knowledge of AWS or Azure. You will design cloud architectures and ensure scalability and security.,"Delhi, India",Full-time,closed,2024-06-23 00:00:00
24,3,Backend Engineer,Microsoft,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Bangalore, India",Part-time,active,2024-05-03 00:00:00
25,6,Frontend Engineer,Amazon,"We are hiring a Frontend Engineer proficient in React and JavaScript. You will build responsive UIs, collaborate with designers, and ensure excellent user experience.","Delhi, India",Full-time,active,2024-04-27 00:00:00
26,1,Full Stack Engineer,Uber,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.","Bangalore, India",Full-time,active,2024-05-29 00:00:00
27,3,DevOps Engineer,TCS,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.",Remote,Internship,active,2024-03-01 00:00:00
28,1,Full Stack Engineer,TCS,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.","Delhi, India",Full-time,closed,2024-03-23 00:00:00
29,7,Data Analyst,Uber,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.",Remote,Contract,active,2024-01-08 00:00:00
30,3,ML Engineer,PwC,"Hiring an ML Engineer with expertise in Python, machine learning, and NLP. You will develop models, work on data pipelines, and deploy AI solutions.","Mumbai, India",Full-time,closed,2024-04-11 00:00:00
31,1,DevOps Engineer,Accenture,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.",Remote,Internship,closed,2024-02-06 00:00:00
32,8,DevOps Engineer,Google,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.",Remote,Part-time,active,2024-03-04 00:00:00
33,10,ML Engineer,Uber,"Hiring an ML Engineer with expertise in Python, machine learning, and NLP. You will develop models, work on data pipelines, and deploy AI solutions.","Mumbai, India",Part-time,active,2024-06-02 00:00:00
34,1,QA Engineer,Uber,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,"Mumbai, India",Part-time,closed,2024-02-04 00:00:00
35,5,QA Engineer,Amazon,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,"Delhi, India",Part-time,closed,2024-02-05 00:00:00
36,7,Backend Engineer,TCS,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Bangalore, India",Part-time,active,2024-05-20 00:00:00
37,9,Backend Engineer,PwC,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.",Remote,Internship,active,2024-01-08 00:00:00
38,6,QA Engineer,Microsoft,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,"Delhi, India",Contract,closed,2024-05-04 00:00:00
39,7,Data Analyst,Uber,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.",Remote,Full-time,closed,2024-01-28 00:00:00
40,10,Data Analyst,Accenture,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.",Remote,Internship,active,2024-04-25 00:00:00
41,8,QA Engineer,Uber,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,Remote,Contract,active,2024-04-27 00:00:00
42,9,Data Analyst,Amazon,"We are looking for a Data Analyst with strong experience in SQL, Python, and data visualization tools like Power BI and Tableau. The candidate will analyze large datasets, build dashboards, and support data-driven decisions.","Delhi, India",Full-time,active,2024-01-01 00:00:00
43,10,QA Engineer,TCS,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,Remote,Full-time,closed,2024-05-06 00:00:00
44,1,DevOps Engineer,Deloitte,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.",Remote,Contract,closed,2024-02-13 00:00:00
45,1,QA Engineer,Microsoft,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,"Mumbai, India",Part-time,active,2024-04-10 00:00:00
46,7,Full Stack Engineer,Deloitte,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.","Delhi, India",Part-time,closed,2024-01-11 00:00:00
47,8,DevOps Engineer,TCS,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.","Bangalore, India",Full-time,active,2024-03-24 00:00:00
48,4,ML Engineer,Amazon,"Hiring an ML Engineer with expertise in Python, machine learning, and NLP. You will develop models, work on data pipelines, and deploy AI solutions.","Delhi, India",Contract,active,2024-03-14 00:00:00
49,3,DevOps Engineer,Uber,"We are seeking a DevOps Engineer experienced in Docker, Kubernetes, CI/CD, and cloud platforms like AWS. You will manage infrastructure and deployments.","Delhi, India",Part-time,active,2024-05-27 00:00:00
50,7,Frontend Engineer,Amazon,"We are hiring a Frontend Engineer proficient in React and JavaScript. You will build responsive UIs, collaborate with designers, and ensure excellent user experience.","Mumbai, India",Full-time,active,2024-03-07 00:00:00
51,8,QA Engineer,Infosys,Hiring a QA Engineer with experience in Selenium and automation testing. You will ensure software quality through test planning and execution.,"Bangalore, India",Part-time,closed,2024-02-14 00:00:00
52,3,Backend Engineer,Amazon,"Seeking a Backend Engineer skilled in Python, FastAPI, and PostgreSQL. You will design scalable APIs, optimize database performance, and work closely with frontend and DevOps teams.","Delhi, India",Part-time,closed,2024-03-29 00:00:00
53,2,Full Stack Engineer,Amazon,"Looking for a Full Stack Engineer with experience in React, Node.js, and Python. The role involves building end-to-end web applications and integrating APIs.",Remote,Contract,active,2024-03-04 00:00:00
